Curriculum ID,Curriculum Title,Security Domain,Curriculum Type,Basis Date,Subsequent Failures Reset Curriculum Status,Active,Curriculum Description
CUR-LSG-BED-AFNY-0001,Oligo dT Large Scale Coupling (Bedford Affinity),BED,,,No,Yes,"This training will provide guidance on the vessel set up, ligand testing and prep, coupling buffer prep, and coupling reaction start."
CUR-LSG-BED-AFNY-0002,AAV Large Scale CDI Activation (Bedford Affinity),BED,,,No,Yes,
CUR-LSG-BED-AFNY-0003,AAV Large Scale Coupling RXN (Bedford Affinity),BED,,,No,Yes,"Training to cover material prep and start the coupling reaction for AAV and AAVX at the 17.5kg scale. This includes ligand prep, coupling buffer prep, POROS charge and reaction start through Delta V."
CUR-LSG-BED-AFNY-0004,Introduction to Affinity Products (Bedford Affinity),BED,,,No,Yes,Training focused on product manufacturing processes overview for affinity products for new and existing team members.
CUR-LSG-BED-AFNY-0005,Affinity Buffer Preparation  (Bedford Affinity),BED,,,No,Yes,"This training will provide guidance on the process of manufacturing buffers such as charging materials, mixing solutions, obtaining line clearance, and adjusting pH."
CUR-LSG-BED-AFNY-0006,Affinity Large Scale Bulk Packaging  (Bedford Affinity),BED,,,No,Yes,"This training will cover the process of closing the bulk and finished goods work orders where the bulk is packaged as finished good. The training shall encompass the process of discharging from the elutriation cones, moving the bulk to unrestricted inventory, and putting the finished good to stock."
CUR-LSG-BED-AFNY-0007,Affinity Large Scale Post Coupling  (Bedford Affinity),BED,,,No,Yes,"This training will provide guidance on the post-coupling washes, starting the blocking, post-blocking washes and the transfer to the elutriation cone for discharge."
CUR-LSG-BED-AFNY-0008,Affinity Elutriation Recirculation Skid Operator (Bedford Affinity),BED,,,No,Yes,"Training is for the Affinity team only for AAV products. Training will cover how to operate and clean the Elutriation Recirculation Skid in Bedford, MA."
CUR-LSG-BED-AFNY-5001,Affinity Team Intro Curriculum (Bedford Affinity),BED,,,No,Yes,Curriculum covers Affinity basic trainings all department employees will need to take following onboarding training completion.
CUR-LSG-BED-AFNY-5002,Affinity Buffer Prep Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers buffer prep for Affinity resins.
CUR-LSG-BED-AFNY-5003,Affinity Packaging Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers packaging requirements for Affinity resins.
CUR-LSG-BED-AFNY-5004,Affinity Coupling RXN Curriculum (Bedford Affinity),BED,,,No,Yes,Scientist 1 Tech +. Training covers Oligo dT and AAV products post-coupling RXNs steps.
CUR-LSG-BED-AFNY-5005,Affinity Post-Coupling RXN Curriculum (Bedford Affinity),BED,,,No,Yes,Scientist 1 Tech +. Training covers Oligo dT and AAV products coupling RXNs as well as CDI activation.
CUR-LSG-BED-AFNY-5006,Affinity In-Process Testing Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers all QC in-process testing for Affinity resins performed by Affinity technicians.
CUR-LSG-BED-AFNY-5007,Affinity Equipment Cleaning Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers a variety equipment cleaning requirements used for Affinity resin production
CUR-LSG-BED-AFNY-5008,Affinity APTAC Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers all aspects of APTAC strip process
CUR-LSG-BED-AFNY-5009,Affinity SAP Transactions Curriculum (Bedford Affinity),BED,,,No,Yes,Senior Tech +. Training covers all SAP transactions used by the Affinity team.
CUR-LSG-BED-COLP-0001,New Employee for Column Packing/Small Scale POROS Packaging (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0002,Basewashing (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0003,Column Packaging (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0004,Column Packaging - Buffer Prep (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0005,Column Packing Database,BED,,,No,Yes,
CUR-LSG-BED-COLP-0006,Column Testing (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0007,CTC Generation (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0008,Custom Process (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0009,Decrement Tag Training (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0010,Finished Goods Reprocessing (Bedford Column Packing),BED,,,No,Yes,
