Curriculum ID,Curriculum Title,Security Domain ID,Security Domain Description,Active,Date Created,Curriculum Description,Subsequent Failures Reset Curriculum Status,Item Type,Item ID,Item Revision Date,Revision Number,Item Title,Assignment Type,Initial Period (Item),Initial Number (Item),Initial Basis (Item),Retraining Period (Item),Retraining Number (Item),Retraining Basis (Item),Effective Date,Job Classification ID,Job Description,Requirement (Requirements),Initial Period (Requirement),Initial Number (Requirement),Initial Basis (Requirement),Retraining Period (Requirement),Retraining Number (Requirement),Retraining Basis (Requirement),Requirement (Requirement Group),Initial Period (Requirement Group),Initial Number (Requirement Group),Initial Basis (Requirement Group),Retraining Period (Requirement Group),Retraining Number (Requirement Group),Retraining Basis (Requirement Group),Requirement (Group Requirements),Description,Document Link ID,Document Link Title,Review Flag,Sub-Curriculum ID,Sub-Curriculum Title,Sub-Curriculum Parent ID,Sub-Curriculum Level
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,26-Jan-26,Curriculum intended for those working in the MSAT chemistry team across Bedford and Chelmsford locations.,No,,,  ,,,,,,,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,16-Apr-25,The proper use of lifting equipment available onsite,No,ELEARN,LSG-BED-EHS-LI-0024,04/Dec/2024 10:00 AM America/Indianapolis,A,Safety Lift Equipment  (Bedford and Chelmsford MA Sites),Required,Days,28,Event,,,,16-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-EHS-0032,Lifting Equipment Training (Bedford EHS),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,15-Apr-25,"Train to creating an initial decrement tag as well as guidelines to adhere to with each product use till full consumption. Other items to discuss: new tag storage location, tag disposal, importance of stock level accuracy in regards to recording and charging out goods in SAP.",No,ELEARN,LSG-BED-COLP-LI-0002,13/Nov/2019 10:00 AM America/Indianapolis,A,Decrement Tag Training (Bedford MA Site),Required,Days,28,Event,,,,15-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-GEN-0015,Decrement Tag Training (Bedford General),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,15-Apr-25,"Train to creating an initial decrement tag as well as guidelines to adhere to with each product use till full consumption. Other items to discuss: new tag storage location, tag disposal, importance of stock level accuracy in regards to recording and charging out goods in SAP.",No,OJT,LSG-BED-GEN-OJT-0001,14/Feb/2025 10:00 AM America/Indianapolis,1,Decrement Tag Training (Bedford and Chelmsford MA Sites),Required,Days,28,Event,,,,15-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-GEN-0015,Decrement Tag Training (Bedford General),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,16-Apr-25,"Covers beginner, intermediate and advanced excel functions modules.",No,,,  ,,,,,,,,,,,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-GEN-5004,Excel Curriculum (Bedford),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,10-Apr-25,Collection of basic training for those new to the MSE group.,No,INSTR,LSG-BED-MFG-0002,14/Feb/2025 10:00 AM America/Indianapolis,1,POROS - EHS New Employee Checklist (Bedford and Chelmsford MA Sites),Required,Days,28,Event,,,,7-Jul-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-MSE-0009,MSE New Employee (Bedford MSE),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,10-Apr-25,Collection of basic training for those new to the MSE group.,No,ELEARN,LSG-BED-MNT-LI-0001,13/Nov/2019 10:00 AM America/Indianapolis,A,Calibration System Overview (Bedford and Chelmsford MA Sites),Required,Days,28,Event,,,,11-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-MSE-0009,MSE New Employee (Bedford MSE),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,10-Apr-25,Collection of basic training for those new to the MSE group.,No,DOC,LSG-BED-4444230,26/Dec/2023 10:00 AM America/Indianapolis,B,"4444230 FORM, UNATTENDED OPERATION POROS/POP (PPA MA Sites)",Required,Days,28,Event,,,,11-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-MSE-0009,MSE New Employee (Bedford MSE),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,10-Apr-25,Collection of basic training for those new to the MSE group.,No,DOC,LSG-BED-4387295,29/Jun/2023 11:00 AM America/Indianapolis,K,"4387295 SOP,CALIBRATION PROGRAM OPERATION (PPA MA Sites)",Required,Days,28,Event,,,,11-Apr-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-MSE-0009,MSE New Employee (Bedford MSE),CUR-LSG-BED-MSE-5007,2
CUR-LSG-BED-MSE-5007,MSAT Chemistry Team Intro Curriculum (Bedford Chemistry),BED,Bedford/Chelmsford,Yes,10-Apr-25,Collection of basic training for those new to the MSE group.,No,DOC,LSG-BED-4391021,03/Nov/2025 07:00 PM America/Indianapolis,B,"4391021 FORM, MA LOCATION ARC FORM (PPA MA Sites)",Required,Days,28,Event,,,,3-Nov-25,,, ,,,,,,, ,,,,,,, ,,,,,CUR-LSG-BED-MSE-0009,MSE New Employee (Bedford MSE),CUR-LSG-BED-MSE-5007,2
