Item,Title,Security Domain ID,Assignment Type,Method ID,Source ID,Active,Safety Related,Create Date,Revision Number,Approved,Approval Date,Duration,Credit Hours,CPE Hours,Contact Hours,Description,SKU,Production Ready,Process ID,Approval Required,Initial Period,Initial Number,Initial Basis,Retraining Period,Retraining Number,Retraining Basis,Rating,Course ID
DOC LSG-BED-100022204 (Rev F - 08/Oct/2024 11:00 AM America/Indianapolis),"100022204 PROC, HS250 CERIC SULFATE QUAL (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,F,No,8-Oct-24,,,,,Batch record for POROS HS250 Coating 60G Ceric Sulfate Qualification,SKU-1674762,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023390 (Rev D - 26/Dec/2023 10:00 AM America/Indianapolis),100023390 V7020 Glass Lined cleaning Form (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,D,No,26-Dec-23,,,,,Refer to UOP 4470229 (30 Gallon Glass Lined Reactor Operation and Cleaning V-7020) for a detailed description of each step,SKU-1674763,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023448 (Rev E - 25/Oct/2024 11:00 AM America/Indianapolis),100023448 MEHQ IN DMAP/APTAC BY HPLC (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,E,No,25-Oct-24,,,,,Refer to SOP 4483113 for form use.,SKU-1674764,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023464 (Rev B - 30/Dec/2025 07:00 PM America/Indianapolis),"100023464 PROC, ZAGE REPORT EXP MATERIAL (PPA MA Campus)",BED,REQ,,,Yes,No,7-Apr-25,B,No,30-Dec-25,,,,,To capture SAP aging or expiring material within the Bedford / Framingham site.Distribution / Shipping Personnel.,SKU-1674765,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023630 (Rev C - 18/Dec/2024 10:00 AM America/Indianapolis),"100023630 UOP,ORION STAR A213 O2 METER (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,C,No,18-Dec-24,,,,,The purpose of this document is to instruct users on the proper use and maintenance of theThermo Scientific Orion Star A213 Bench top RDO/DO Meter and to ensure that measurementsmade with it are done according to the manufacturers recommendations,SKU-1674766,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023644 (Rev E - 18/Mar/2024 11:00 AM America/Indianapolis),"100023644 FORM, BDX/XT CALC SPREADSHEET (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,E,No,18-Mar-24,,,,,"Includes tabs for CapSuit Raw Data, SeQ Raw Data and data template",SKU-1674767,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023720 (Rev D - 30/Mar/2025 07:00 PM America/Indianapolis),"100023720 UOP, HORIBA PH METER (PPA MA Campus)",BED,REQ,,,Yes,No,7-Apr-25,D,No,30-Mar-25,,,,,To describe the steps which must be carried out for the calibration and operation of the Horiba F-52 pH meter.Qualified Manufacturing personnel will perform the operation of this equipment.,SKU-1674768,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100023723 (Rev N - 05/Mar/2025 07:00 PM America/Indianapolis),"100023723 PROC, 4400898 PROCESSING - CDP-Star RTU (PPA MA Campus)",BED,REQ,,,Yes,No,7-Apr-25,N,No,5-Mar-25,,,,,Procedure for CDP-Star RTU Sysmex 155L formulation,SKU-1674769,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100024370 (Rev N - 08/Oct/2024 11:00 AM America/Indianapolis),100024370 Bedford ECO Approvers by Role (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,N,No,8-Oct-24,,,,,This chart breaks down whom is needed for approval by type of document change.,SKU-1674770,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100024913 (Rev C - 16/Sep/2024 11:00 AM America/Indianapolis),"100024913 FORM, HORIBA PH CALIBRATION (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,C,No,16-Sep-24,,,,,Refer to SOP 100023720,SKU-1674771,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100025400 (Rev J - 16/Sep/2024 11:00 AM America/Indianapolis),"100025400 UOP, AKTA PURE OPERATION (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,J,No,16-Sep-24,,,,,To describe the steps for how to operate and maintain the ÃKTA Pure 25 liquid chromatographysystem.Qualified Quality Control and Column Production personnel will perform the operation of thisequipment.,SKU-1674772,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100025401 (Rev F - 04/Mar/2024 10:00 AM America/Indianapolis),100025401 DYNAMIC BINDING CAPACITY HS250 (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,F,No,4-Mar-24,,,,,This SOP describes the test procedure for dynamic binding capacity on cation exchange batches of POROS HS250 media.The test should be run on all POROS HS250 batches as a part of the QC test protocol to determine batch acceptability (using the appropriate specification sheets).,SKU-1674773,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100025402 (Rev D - 29/Aug/2022 11:00 AM America/Indianapolis),"100025402 PROC,IONIC CAPACITY TEST HS250 (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,D,No,29-Aug-22,,,,,"This SOP describes the test procedure for ionic capacity test on cation exchange batches of POROS HS250 media.The test should be run on all POROS HS250 batches as a part of the QC test protocol to monitor batch consistency. This test is a run and record test. Performance capability will be plotted using 43.0-96.7 micomol/mL as an internal tolerance window. Any outliers in the process capability plot will be reviewed by QA, QC, and Manufacturing to determine if any actions are required.",SKU-1674774,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100025403 (Rev E00 - 02/May/2024 11:00 AM America/Indianapolis),"100025403 PROC,PROTEIN SEPARATION HS250 (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,E00,No,2-May-24,,,,,The purpose of this SOP is to describe the procedure for performing a standardized gradient elution protein separation assay on batches of POROS HS250 media.,SKU-1674775,Y,,No,Days,28,Event,,,,,
