Item Classification,Item Type,Item ID,Item ID,SOP# or item shortname convention,Course Title (include Site),Revision Number,"Revision Date
(dd/mmm/yyyy)",Course Description,Domain,Assignment Type,"Approval Date 
(dd/mmm/yyyy)",Item Category,Item Sub-type,Version,Initial Number,Initial Period,Initial Basis,Content Item Link,Content Item ID,Status Check - AB,
Online,Document (DOC),LSG-BED-902692,LSG-BED-902692,902692,902692 Deviation Management Process (PPA MA Sites),Z,30-Jun-25,"To define the process by which manufacturing discrepancies are controlled and
documented. Bedford site-specific items are noted as such.

Note: Previously titled 'PROC, PROBLEM REPORTING PROCESS'.",BED,Required (REQ),6/30/2025,LSG (LSG),Standard Operating Procedure,Z,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=902692;pOrgId=300000001488573,LSG-BED-902692-C01,Updated,
Online,Document (DOC),LSG-BED-942824,LSG-BED-942824,942824,"942824 PROC, BUFFER (10X) WITH EDTA 25 mL (PPA MA Sites)",P,22-Oct-25,Batch record for Buffer (10X) with EDTA 25 mL (P/N 402824),BED,Required (REQ),10/22/2025,LSG (LSG),Standard Operating Procedure,P,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=942824;pOrgId=300000001488573,LSG-BED-942824-C01,Updated,
Online,Document (DOC),LSG-BED-961684,LSG-BED-961684,961684,"961684 PROC,361684 PROCESSING - GA 10X Buffer (PPA MA Sites)",V2,28-Apr-22,Batch record for Bulk G.A. 10X Buffer/EDTA (P/N 361684),BED,Required (REQ),4/28/2022,LSG (LSG),Standard Operating Procedure,V2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:961684,LSG-BED-961684-C01,Current,
Online,Document (DOC),LSG-BED-4306853,LSG-BED-4306853,4306853,"4306853 PROC,4306857 PROCESSING - Pyrrol Distillation (PPA MA Sites)",P,27-Aug-24,"Batch record for Bulk 2-Pyrrolidinone, distilled (P/N 4306857)",BED,Required (REQ),8/27/2024,LSG (LSG),Standard Operating Procedure,P,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4306853;pOrgId=300000001488573,LSG-BED-4306853-C01,Current,
Online,Document (DOC),LSG-BED-4318389,LSG-BED-4318389,4318389,"4318389 QSM, Control and use of Lab. Notebooks (PPA MA Sites)",C,13-Dec-24,"The purpose of this procedure is to document the responsibilities and controls required for issuing, maintaining, and archiving of laboratory notebooks. Laboratory notebooks are used by scientists, engineers, and other technical personnel for notes and other records of original work that is carried out during research, design, development, and related activities.

This document describes the control and use of Laboratory Notebooks at the Bedford MA facilities.",BED,Required (REQ),12/13/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4318389;pOrgId=300000001488573,LSG-BED-4318389-C01,Current,
Online,Document (DOC),LSG-BED-4330689,LSG-BED-4330689,4330689,"4330689 ZEBRA PRINTER,USERS MANUAL 90/170 XiII (PPA MA Sites)",A,22-Feb-02,XiII - Series manufacturers user guide,BED,Required (REQ),2/22/2002,LSG (LSG),Standard Operating Procedure,A,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4330689,LSG-BED-4330689-C01,Current,
Online,Document (DOC),LSG-BED-4332902,LSG-BED-4332902,4332902,4332902 QCM/3100 GA/FRAG SIZE/RESOLUTION POP4 (PPA MA Sites),L1,15-Mar-23,"A 3130xl Genetic Analyzer method for the determination of Fragment Size and Resolution. This method describes the use of the 3130xl Genetic Analyzer for the quality control of the Bulk 31xx POP-4 formulation, P/N 4352964. The actual 31xx POP-4 polymer validation requires 4 x 3130xl instruments for a minimum of 9 consecutive workdays.

This document covers only the procedure to do functional testing and subsequent data analysis. Information on how to use the 3130 Data Collection and Sequencing Analysis software are not covered in this document. This document is intended for an operator who is trained to use the 3130xl instrument and the 3130 Data Collection software and Sequencing Analysis software v3.0 or higher",BED,Required (REQ),3/15/2023,LSG (LSG),Standard Operating Procedure,L1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4332902,LSG-BED-4332902-C01,Current,
Online,Document (DOC),LSG-BED-4332904,LSG-BED-4332904,4332904,4332904 QCM/3100 GA/FRAG SIZE/RESOLUTION POP6 (PPA MA Sites),M,17-Oct-24,"A 3130xl Genetic Analyzer method for the determination of Phred Q20 Read Length (PLOR) and GS1200 crossover (CxO). This method uses four 3130xl Genetic Analyzers for the quality control of the BULK 31xx POP-6 formulation, P/N 4352966.

This document covers only the procedure to do functional testing and subsequent data analysis. Information on how to use the 3130 Data Collection and Sequencing Analysis software are not covered in this document. This document is intended for an operator who is trained to use the 3130xl instrument and the 3130 Data Collection software and Sequencing Analysis software v3.0 or higher.",BED,Required (REQ),10/17/2024,LSG (LSG),Standard Operating Procedure,M,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4332904;pOrgId=300000001488573,LSG-BED-4332904-C01,Current,
Online,Document (DOC),LSG-BED-4335375,LSG-BED-4335375,4335375,"4335375 PROC,4332241 BOTTLING - 29mL POP7 (PPA MA Sites)",P,22-Oct-25,Batch record for POP-7 29 mL (P/N 4332241),BED,Required (REQ),10/22/2025,LSG (LSG),Standard Operating Procedure,P,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4335375;pOrgId=300000001488573,LSG-BED-4335375-C01,Updated,
Online,Document (DOC),LSG-BED-4335614,LSG-BED-4335614,4335614,"4335614 PROC,4335613 BOTTLING - 3730 Buffer (PPA MA Sites)",L,11-Jun-25,Batch record for 3730 Buffer (10x) with EDTA 500 mL (P/N 4335613),BED,Required (REQ),6/11/2025,LSG (LSG),Standard Operating Procedure,L,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4335614;pOrgId=300000001488573,LSG-BED-4335614-C01,Updated,
